# firn-dom-soak v1 variante=gc
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
1076617	643400000	1696	94	628276	1572864	31113200
1081811	647400000	1696	110	632182	1572864	31113200
1087570	651400000	1696	118	636088	1572864	31113200
1093614	655400000	1696	113	639994	1572864	31113200
1099841	659400000	1696	91	643900	1572864	31113200
1106055	663400000	1696	104	647806	1572864	31113200
1112314	667400000	1696	118	651712	1572864	31113200
1118594	671400000	1696	94	655618	1572864	31113200
1124815	675400000	1696	94	659524	1572864	31113200
1131125	679400000	1696	106	663430	1572864	31113200
1147218	683400000	1696	104	667336	1572864	31113200
1152516	687400000	1696	118	671242	1572864	31113200
1157689	691400000	1696	106	675148	1572864	31113200
1162871	695400000	1696	118	679053	1572864	31113200
1168058	699400000	1696	106	682959	1572864	31113200
1173252	703400000	1696	94	686865	1572864	31113200
1178426	707400000	1696	95	690771	1572864	31113200
1183627	711400000	1696	95	694677	1572864	31113200
1193205	715400000	1696	90	698583	1572864	31113200
1204832	719400000	1696	110	702489	1572864	31113200
1210112	723400000	1696	110	706395	1572864	31113200
1215360	727400000	1696	110	710301	1572864	31113200
1220597	731400000	1696	113	714207	1572864	31113200
1225833	735400000	1696	103	718113	1572864	31113200
1231030	739400000	1696	103	722019	1572864	31113200
1236245	743400000	1696	103	725925	1572864	31113200
1241433	747400000	1696	91	729831	1572864	31113200
1246961	751400000	1696	106	733737	1572864	31113200
1254707	755400000	1696	110	737643	1572864	31113200
1260881	759400000	1696	113	741549	1572864	31113200
1267082	763400000	1696	91	745455	1572864	31113200
1273321	767400000	1696	104	749361	1572864	31113200
1279531	771400000	1696	96	753267	1572864	31113200
1285759	775400000	1696	110	757173	1572864	31113200
1292015	779400000	1696	103	761079	1572864	31113200
1298100	783400000	1696	94	764985	1572864	31113200
1303616	787400000	1696	110	768891	1572864	31113200
1309555	791400000	1696	90	772797	1572864	31113200
1315763	795400000	1696	118	776703	1572864	31113200
1321897	799400000	1696	95	780609	1572864	31113200
1328076	803400000	1696	110	784515	1572864	31113200
1334321	807400000	1696	113	788421	1572864	31113200
1340562	811400000	1696	91	792327	1572864	31113200
1346770	815400000	1696	91	796233	1572864	31113200
1352979	819400000	1696	90	800139	1572864	31113200
1359121	823400000	1696	94	804045	1572864	31113200
1365292	827400000	1696	110	807951	1572864	31113200
1371392	831400000	1696	103	811857	1572864	31113200
1377659	835400000	1696	87	815763	1572864	31113200
1383889	839400000	1696	106	819669	1572864	31113200
1390104	843400000	1696	96	823575	1572864	31113200
1396351	847400000	1696	112	827481	1572864	31113200
