# firn-gc-pause v1
# spalten: t_ms	zyklen	rss_kib	lebende	sammellaeufe	heap_bytes	pause_max_ns
115	203000	1368	13	96	1310720	165022
116	204000	1368	13	96	1310720	165022
116	205000	1368	13	96	1310720	165022
117	206000	856	8	97	786432	165022
118	207000	1368	8	97	1310720	165022
118	208000	1368	17	98	1310720	165022
119	209000	1368	17	98	1310720	165022
119	210000	1368	13	99	1310720	165022
120	211000	1368	13	99	1310720	165022
121	212000	856	8	100	786432	181502
121	213000	1112	8	100	1048576	181502
122	214000	1368	17	101	1310720	181502
122	215000	1368	17	101	1310720	181502
123	216000	1368	13	102	1310720	181502
123	217000	1368	13	102	1310720	181502
124	218000	856	8	103	786432	181502
125	219000	1112	8	103	1048576	181502
125	220000	1368	17	104	1310720	181502
126	221000	1368	17	104	1310720	181502
126	222000	1368	17	104	1310720	181502
127	223000	1368	13	105	1310720	181502
127	224000	1368	13	105	1310720	181502
128	225000	856	8	106	786432	181502
129	226000	1368	8	106	1310720	181502
129	227000	1368	17	107	1310720	181502
129	228000	1368	17	107	1310720	181502
130	229000	1368	13	108	1310720	181502
130	230000	1368	13	108	1310720	181502
131	231000	856	8	109	786432	181502
131	232000	1112	8	109	1048576	181502
132	233000	1368	17	110	1310720	181502
133	234000	1368	17	110	1310720	181502
133	235000	1368	13	111	1310720	181502
133	236000	1368	13	111	1310720	181502
134	237000	856	8	112	786432	181502
135	238000	1112	8	112	1048576	181502
135	239000	1368	17	113	1310720	181502
136	240000	1368	17	113	1310720	181502
136	241000	1368	17	113	1310720	181502
136	242000	1368	13	114	1310720	181502
137	243000	1368	13	114	1310720	181502
138	244000	856	8	115	786432	181502
138	245000	1368	8	115	1310720	181502
139	246000	1368	17	116	1310720	181502
140	247000	1368	17	116	1310720	181502
140	248000	1368	13	117	1310720	181502
140	249000	1368	13	117	1310720	181502
141	250000	856	8	118	786432	181502
142	251000	1112	8	118	1048576	181502
142	252000	1368	17	119	1310720	181502
143	253000	1368	17	119	1310720	181502
143	254000	1368	13	120	1310720	181502
143	255000	1368	13	120	1310720	181502
144	256000	856	8	121	786432	181502
145	257000	1112	8	121	1048576	181502
145	258000	1368	17	122	1310720	181502
146	259000	1368	17	122	1310720	181502
146	260000	1368	17	122	1310720	181502
146	261000	1368	13	123	1310720	181502
147	262000	1368	13	123	1310720	181502
147	263000	856	8	124	786432	181502
148	264000	1368	8	124	1310720	181502
149	265000	1368	17	125	1310720	181502
149	266000	1368	17	125	1310720	181502
150	267000	1368	13	126	1310720	181502
150	268000	1368	13	126	1310720	181502
150	269000	856	8	127	786432	181502
151	270000	1112	8	127	1048576	181502
152	271000	1368	17	128	1310720	181502
152	272000	1368	17	128	1310720	181502
153	273000	1368	13	129	1310720	181502
153	274000	1368	13	129	1310720	181502
154	275000	856	8	130	786432	181502
154	276000	1112	8	130	1048576	181502
155	277000	1368	17	131	1310720	181502
155	278000	1368	17	131	1310720	181502
156	279000	1368	17	131	1310720	181502
156	280000	1368	13	132	1310720	181502
156	281000	1368	13	132	1310720	181502
157	282000	856	8	133	786432	181502
158	283000	1112	8	133	1048576	181502
158	284000	1368	17	134	1310720	181502
159	285000	1368	17	134	1310720	181502
159	286000	1368	13	135	1310720	181502
160	287000	1368	13	135	1310720	181502
160	288000	856	8	136	786432	181502
161	289000	1112	8	136	1048576	181502
162	290000	1368	17	137	1310720	181502
