# firn-gc-phasen v1
# spalten: runde	phase	rss_kib	heap_bytes	lebende	sammellaeufe
156	2	16448	16777216	4851	31
157	2	16448	16777216	4851	31
158	2	16448	16777216	4851	31
159	2	16448	16777216	4851	31
160	2	16448	16777216	4851	31
161	2	16448	16777216	4851	31
162	2	16448	16777216	4851	31
163	2	16704	17039360	4851	31
164	2	16704	17039360	4851	31
165	2	16704	17039360	4851	31
166	2	16704	17039360	4851	31
167	2	16704	17039360	4851	31
168	2	16704	17039360	4851	31
169	2	16704	17039360	4851	31
170	2	16704	17039360	4851	31
171	2	16704	17039360	4851	31
172	2	16704	17039360	4851	31
173	2	16704	17039360	4851	31
174	2	16704	17039360	4851	31
175	2	16704	17039360	4851	31
176	2	16704	17039360	4851	31
177	2	16704	17039360	4851	31
178	2	16704	17039360	4851	31
179	2	16704	17039360	4851	31
180	2	16704	17039360	4851	31
181	2	16704	17039360	4851	31
182	2	16704	17039360	4851	31
183	2	16704	17039360	4851	31
184	2	16960	17301504	4851	31
185	2	16960	17301504	4851	31
186	2	16960	17301504	4851	31
187	2	16960	17301504	4851	31
188	2	16960	17301504	4851	31
189	2	16960	17301504	4851	31
190	2	16960	17301504	4851	31
191	2	16960	17301504	4851	31
192	2	16960	17301504	4851	31
193	2	16960	17301504	4851	31
194	2	16960	17301504	4851	31
195	2	16960	17301504	4851	31
196	2	16960	17301504	4851	31
197	2	16960	17301504	4851	31
198	2	16960	17301504	4851	31
199	2	16960	17301504	4851	31
200	2	16960	17301504	4851	31
201	2	16960	17301504	4851	31
202	2	16960	17301504	4851	31
203	2	16960	17301504	4851	31
204	2	17216	17563648	4851	31
205	2	17216	17563648	4851	31
206	2	14144	14417920	5244	32
207	2	14144	14417920	5244	32
208	2	14144	14417920	5244	32
209	2	14144	14417920	5244	32
210	2	14144	14417920	5244	32
211	2	14144	14417920	5244	32
212	2	14144	14417920	5244	32
213	2	14144	14417920	5244	32
214	2	14144	14417920	5244	32
215	2	14144	14417920	5244	32
216	2	14144	14417920	5244	32
217	2	14144	14417920	5244	32
218	2	14144	14417920	5244	32
219	2	14144	14417920	5244	32
220	2	14144	14417920	5244	32
221	2	14144	14417920	5244	32
222	2	14144	14417920	5244	32
223	2	14144	14417920	5244	32
224	2	14144	14417920	5244	32
225	2	14144	14417920	5244	32
226	2	14144	14417920	5244	32
227	2	14144	14417920	5244	32
228	2	14144	14417920	5244	32
229	2	14144	14417920	5244	32
230	2	14144	14417920	5244	32
231	2	14144	14417920	5244	32
232	2	14144	14417920	5244	32
233	2	14144	14417920	5244	32
234	2	14144	14417920	5244	32
235	2	14144	14417920	5244	32
236	2	14144	14417920	5244	32
237	2	14144	14417920	5244	32
238	2	14144	14417920	5244	32
239	2	14144	14417920	5244	32
240	2	14144	14417920	5244	32
241	2	14144	14417920	5244	32
242	2	14144	14417920	5244	32
243	2	14144	14417920	5244	32
244	2	14144	14417920	5244	32
245	2	14144	14417920	5244	32
246	2	14144	14417920	5244	32
247	2	14144	14417920	5244	32
248	2	14144	14417920	5244	32
249	2	14144	14417920	5244	32
250	2	14144	14417920	5244	32
251	2	14144	14417920	5244	32
252	2	14144	14417920	5244	32
253	2	14144	14417920	5244	32
254	2	14144	14417920	5244	32
255	2	14144	14417920	5244	32
256	2	14144	14417920	5244	32
257	2	14144	14417920	5244	32
258	2	14144	14417920	5244	32
259	2	14144	14417920	5244	32
260	2	14144	14417920	5244	32
261	2	14144	14417920	5244	32
262	2	14144	14417920	5244	32
263	2	14144	14417920	5244	32
264	2	14144	14417920	5244	32
265	2	14144	14417920	5244	32
266	2	14144	14417920	5244	32
267	2	14144	14417920	5244	32
268	2	14144	14417920	5244	32
269	2	14144	14417920	5244	32
270	2	14144	14417920	5244	32
271	2	14144	14417920	5244	32
272	2	14144	14417920	5244	32
273	2	14144	14417920	5244	32
274	2	14144	14417920	5244	32
275	2	14144	14417920	5244	32
276	2	14144	14417920	5244	32
277	2	14144	14417920	5244	32
278	2	14144	14417920	5244	32
279	2	14144	14417920	5244	32
