# firn-gc-frag v1 mode=0 (0=replace/flat, 1=keep/must grow)
# columns: t_ms rounds rss_kib live heap_bytes live_bytes collections pause_ns_max asked
1180133	20098500	2764	1973	2686976	368080	32174	129590264	78130122560
1182905	20148500	15736	2084	15970304	5219488	32254	129590264	78324066264
1185418	20198500	3528	1974	3473408	363936	32335	129590264	78519557208
1187738	20248500	20820	2077	21176320	5399728	32414	129590264	78712264440
1190096	20298500	4528	1979	4497408	434960	32495	129590264	78909288400
1192386	20348500	15212	2078	15433728	4909856	32576	129590264	79101800576
1194790	20398500	2664	1967	2584576	365840	32659	129590264	79299378576
1197147	20448500	16560	2084	16814080	5179680	32739	129590264	79492303056
1199484	20498500	4744	1982	4718592	400512	32820	129590264	79687953872
1201861	20548500	20728	2082	21082112	5292352	32900	129590264	79880385048
1204206	20598500	4312	1980	4272128	414624	32981	129590264	80076345320
1206608	20648500	16736	2070	16994304	5192320	33062	129590264	80269321168
1209050	20698500	4300	1979	4263936	399312	33143	129590264	80465159320
1211397	20748500	15724	2084	15958016	5130176	33224	129590264	80658852960
1213820	20798500	4432	1971	4399104	360464	33305	129590264	80854263896
1216155	20848500	20828	2087	21184512	5258224	33385	129590264	81047533048
1218515	20898500	3628	1976	3575808	356576	33467	129590264	81244271976
1220844	20948500	18640	2086	18944000	5093792	33547	129590264	81437150176
1223229	20998500	4660	1981	4632576	371536	33628	129590264	81633784568
1225602	21048500	15112	2088	15331328	5117920	33709	129590264	81826734872
1228071	21098500	3192	1975	3129344	355376	33792	129590264	82023306880
1230542	21148500	18768	2091	19075072	5138512	33872	129590264	82216904776
1233012	21198500	4700	1977	4673536	417136	33953	129590264	82412498584
1235417	21248500	15428	2069	15654912	5032400	34034	129590264	82605647968
1237827	21298500	4488	1978	4456448	404096	34115	129590264	82801499672
1240253	21348500	16256	2086	16502784	5125920	34196	129590264	82995447952
1242655	21398500	2684	1967	2605056	366064	34277	129590264	83190862072
1245105	21448500	17368	2087	17641472	5095600	34356	129590264	83384161296
1247623	21498500	4384	1970	4349952	360640	34438	129590264	83580220888
1250016	21548500	19656	2088	19984384	5281856	34517	129590264	83771798264
1252431	21598500	4204	1976	4165632	370752	34598	129590264	83967185352
1255188	21648500	17004	2078	17268736	5092480	34678	129590264	84159704600
1257556	21698500	4324	1978	4288512	390272	34759	129590264	84355817056
1259868	21748500	17112	2084	17379328	5148800	34840	129590264	84548631880
1262404	21798500	3412	1974	3354624	357184	34921	129590264	84744512944
1264778	21848500	15704	2077	15937536	5080336	35001	129590264	84936714336
1267204	21898500	4352	1975	4317184	402480	35081	129590264	85131683552
1269557	21948500	18604	2081	18907136	4971440	35161	129590264	85324119192
1271891	21998500	2928	1967	2859008	362096	35243	129590264	85519003416
1274180	22048500	20468	2087	20815872	5462032	35322	129590264	85711125184
1276510	22098500	3300	1972	3239936	361696	35404	129590264	85906616032
1278827	22148500	15828	2085	16064512	4880176	35485	129590264	86100083928
1281137	22198500	3100	1972	3031040	362080	35566	129590264	86294454440
1283426	22248500	18320	2080	18616320	5079904	35645	129590264	86485220360
1285770	22298500	2688	1967	2609152	351504	35727	129590264	86681484760
1288082	22348500	15804	2085	16039936	5041616	35807	129590264	86874859304
1290408	22398500	4292	1978	4255744	355712	35888	129590264	87070864568
1292743	22448500	15292	2085	15515648	5262448	35970	129590264	87265076960
1295059	22498500	3080	1965	3014656	347760	36051	129590264	87459934392
1297338	22548500	19576	2085	19902464	5229328	36130	129590264	87653429648
1299685	22598500	2848	1966	2772992	347360	36211	129590264	87848514936
1301999	22648500	20452	2069	20799488	5209712	36291	129590264	88041725384
1304354	22698500	2668	1967	2588672	365008	36372	129590264	88237289336
1306637	22748500	20792	2079	21147648	5191600	36452	129590264	88430402504
1309830	22798500	2628	1967	2547712	359664	36534	129590264	88625872088
1312155	22848500	19216	2062	19533824	5091136	36613	129590264	88817674592
1314527	22898500	2892	1969	2822144	365264	36695	129590264	89014211944
1316827	22948500	15292	2090	15515648	5017888	36776	129590264	89208091160
1319165	22998500	4960	1981	4939776	420944	36856	129590264	89404181128
1321509	23048500	18524	2091	18825216	5113200	36936	129590264	89596549952
1323872	23098500	3648	1973	3596288	368752	37018	129590264	89791571672
1326204	23148500	15556	2086	15785984	4984192	37099	129590264	89984500000
1328532	23198500	2944	1964	2871296	346912	37180	129590264	90180724216
1330863	23248500	15184	2080	15405056	5173024	37260	129590264	90373072440
1333208	23298500	4532	1982	4501504	440320	37341	129590264	90568777928
1335505	23348500	15492	2086	15720448	5153760	37422	129590264	90761376768
1337851	23398500	4620	1981	4591616	415408	37503	129590264	90957648336
1340247	23448500	17920	2078	18206720	4993824	37584	129590264	91149606168
1342626	23498500	4612	1979	4583424	383728	37665	129590264	91345947496
1344910	23548500	19848	2083	20180992	5480656	37746	129590264	91538817376
1347293	23598500	4560	1983	4526080	392272	37826	129590264	91735772888
1349628	23648500	19832	2090	20164608	5285568	37906	129590264	91927625976
1352042	23698500	4164	1977	4124672	360016	37987	129590264	92123602728
1354381	23748500	17584	2085	17862656	5096144	38067	129590264	92316263584
1356750	23798500	4088	1969	4046848	354000	38149	129590264	92512917528
1359061	23848500	17248	2085	17518592	5067472	38229	129590264	92705854976
1361441	23898500	3200	1969	3137536	374640	38311	129590264	92901303168
1363763	23948500	16592	2087	16846848	5060656	38391	129590264	93093166960
1366166	23998500	3320	1973	3260416	357616	38473	129590264	93289465280
1368550	24048500	16188	2087	16433152	5147760	38553	129590264	93482065496
1370894	24098500	4340	1980	4304896	371584	38634	129590264	93678390624
1373229	24148500	17596	2070	17874944	5067328	38715	129590264	93871750400
1375586	24198500	4232	1972	4194304	368864	38797	129590264	94068500080
1377868	24248500	16292	2089	16539648	5061616	38878	129590264	94261304360
1380189	24298500	4356	1977	4321280	375728	38959	129590264	94457351768
1382659	24348500	17700	2088	17981440	5237600	39039	129590264	94650817768
1385085	24398500	4160	1968	4120576	346304	39121	129590264	94846812040
1387530	24448500	19672	2076	20000768	5190080	39201	129590264	95041304704
1389899	24498500	3052	1973	2985984	378608	39282	129590264	95236158032
1393677	24548500	15728	2067	15962112	5112240	39363	129590264	95429753928
1396854	24598500	4344	1972	4308992	386336	39444	129590264	95624765456
1399171	24648500	19592	2086	19918848	5136160	39524	129590264	95817191544
1401541	24698500	4580	1968	4550656	380224	39604	129590264	96011518528
1403852	24748500	19800	2089	20131840	5209008	39684	129590264	96203990776
1406187	24798500	3068	1962	3002368	346752	39765	129590264	96398301536
1408476	24848500	17276	2086	17547264	5112320	39844	129590264	96590227344
1410821	24898500	4256	1977	4218880	399056	39926	129590264	96787017256
1414386	24948500	16088	2087	16330752	5194512	40007	129590264	96980858904
1416921	24998500	2696	1973	2617344	357040	40089	129590264	97177105792
1420739	25048500	16204	2083	16449536	5129424	40169	129590264	97370451624
1424060	25098500	2528	1966	2445312	367040	40251	129590264	97566751296
1426381	25148500	15748	2087	15982592	5000304	40330	129590264	97758421456
1429440	25198500	4180	1977	4141056	368656	40411	129590264	97954354856
1432684	25248500	14956	2083	15171584	4914960	40492	129590264	98147876792
1435053	25298500	4064	1980	4022272	368288	40572	129590264	98342812328
1437394	25348500	20872	2086	21229568	5182720	40652	129590264	98536405832
1439699	25398500	4396	1978	4362240	377440	40733	129590264	98732958032
1442040	25448500	15124	2083	15343616	4991536	40815	129590264	98926306880
1444365	25498500	3076	1964	3006464	347552	40896	129590264	99121678192
1447066	25548500	19980	2088	20316160	5001376	40975	129590264	99313820440
1449914	25598500	4528	1981	4497408	397712	41055	129590264	99509077816
1452659	25648500	20120	2091	20459520	5046448	41134	129590264	99700476168
1455540	25698500	2904	1976	2834432	356864	41215	129590264	99896677728
1458163	25748500	21088	2077	21450752	5415568	41294	129590264	100089031592
1460586	25798500	4548	1976	4517888	451264	41375	129590264	100284510368
1463081	25848500	19916	2087	20250624	5175536	41455	129590264	100476984736
1465599	25898500	2540	1965	2457600	350320	41536	129590264	100672701784
1467973	25948500	20872	2087	21229568	5266448	41615	129590264	100864657264
1470424	25998500	4356	1983	4321280	374000	41696	129590264	101059948664
1473013	26048500	15080	2085	15298560	4990608	41776	129590264	101251682872
1475387	26098500	4548	1977	4517888	402800	41857	129590264	101448036704
1477686	26148500	20500	2077	20848640	5033008	41938	129590264	101640799624
1480059	26198500	4396	1974	4362240	359104	42018	129590264	101835790720
1482455	26248500	16364	2084	16613376	5004960	42097	129590264	102028090736
1484995	26298500	2760	1966	2682880	368384	42179	129590264	102225002496
1487381	26348500	19016	2085	19329024	5202352	42258	129590264	102417946200
1489700	26398500	4308	1979	4272128	371536	42340	129590264	102613700968
1492236	26448500	20408	2084	20754432	5199200	42420	129590264	102806740384
1494779	26498500	2748	1973	2670592	359568	42501	129590264	103003230576
1497167	26548500	17704	2084	17985536	5163968	42581	129590264	103196847104
1499599	26598500	4204	1968	4165632	354016	42661	129590264	103390915416
1502020	26648500	17992	2089	18280448	5140496	42741	129590264	103583370072
1505734	26698500	3124	1969	3059712	344880	42822	129590264	103779280960
1508882	26748500	15224	2063	15446016	5336720	42901	129590264	103972888976
1513735	26798500	4660	1982	4632576	393824	42983	129590264	104169860768
1518374	26848500	16112	2088	16355328	5169408	43064	129590264	104363199136
1523112	26898500	3780	1972	3731456	345856	43145	129590264	104559006616
1527828	26948500	18024	2086	18313216	5265120	43226	129590264	104752110560
1531204	26998500	2612	1973	2531328	350288	43307	129590264	104947262344
1533613	27048500	18080	2086	18370560	5245568	43387	129590264	105141169424
1536039	27098500	4332	1979	4296704	396912	43468	129590264	105337985600
1538691	27148500	15948	2087	16187392	4851344	43548	129590264	105530151776
1541217	27198500	4204	1975	4165632	388368	43629	129590264	105726498528
1544712	27248500	18724	2082	19030016	5240608	43709	129590264	105919648344
1547848	27298500	2676	1972	2596864	363200	43790	129590264	106114899936
1550424	27348500	14832	2088	15044608	4992192	43870	129590264	106307555320
1552999	27398500	4376	1979	4341760	387088	43950	129590264	106503063728
1555548	27448500	20860	2086	21217280	5249472	44030	129590264	106695830624
1558243	27498500	4420	1978	4386816	386752	44111	129590264	106891664928
1560861	27548500	15736	2082	15970304	5199232	44191	129590264	107085469040
1563553	27598500	2860	1966	2789376	344480	44271	129590264	107280286136
1566139	27648500	18824	2087	19132416	5361872	44350	129590264	107473796448
1568753	27698500	4300	1982	4263936	398560	44430	129590264	107669503464
1571300	27748500	18472	2074	18771968	5071872	44510	129590264	107861757368
1573653	27798500	2756	1966	2678784	348256	44592	129590264	108057493384
1576004	27848500	18540	2087	18841600	5158672	44672	129590264	108251171128
1578432	27898500	2964	1968	2891776	348704	44753	129590264	108446935120
1580781	27948500	20076	2085	20414464	5237872	44832	129590264	108639213952
